;Zwingenbergstraße;ecke Wallerspfad (Parkplatz);Containerbestand: 3 Behälter;3 x pro Woche;x;005, 006, 007
;Heyenfeldweg;ecke Heidedyck;Containerbestand: 1 Behälter;2 x pro Woche;x;79
;Sternstraße;höhe HNr 45 (Plus);Containerbestand: 3 Behälter;täglich;x;012, 013, 014
;Joachimstraße;ecke Inratherstr. (Kirche);Containerbestand: 1 Behälter;3 x pro Woche;x;54
;Moritzplatz;ecke Girmesgath;Containerbestand: 2 Behälter;täglich;x;015, 016
;Hülser Straße;höhe Weyerhofstr.;Containerbestand: 1 Behälter;2 x pro Woche;x;56
;Dieselstraße;höhe HNr.91-95;Containerbestand: 1 Behälter;2 x pro Woche;x;84
;Benrader Straße;höhe Altenheim;Containerbestand: 1 Behälter;2 x pro Woche;x;85
;Bückerfeldstraße;höhe Kempener Allee;Containerbestand: 1 Behälter;3 x pro Woche;x;83
;De-Greiff-Straße;Geologischer Dienst;Containerbestand: 1 Behälter;2 x pro Woche;x;82
;Westparkstraße;höhe HNr. 30-32;Containerbestand: 2 Behälter;2 x pro Woche;x;080, 081
;Gutenbergstraße;höhe EKZ Parkplatz;Containerbestand: 3 Behälter;täglich;x;9, 010, 011
;Baackesweg;ecke Gripswaldstr.;Containerbestand: 1 Behälter;2 x pro Woche;x;51
;Obergplatz;ecke Fürstenbergstraße;Containerbestand: 1 Behälter;2 x pro Woche;x;53
;Dreikönigenstraße;ecke Peterstraße (Parkplatz);Containerbestand: 1 Behälter;täglich;x;43
;Neue Linner Straße;ecke Philadelphiastr.;Containerbestand: 1 Behälter;4 x pro Woche;x;65
;Hardenbergstraße;ecke Viktoriastr.;Containerbestand: 2 Behälter;täglich;x;036, 037
;Bismarckplatz;ecke Viktoriastr.;Containerbestand: 2 Unterflur;täglich;x;067, 068
;Nordwall;ecke Westwall;Containerbestand: 2 Behälter;täglich;x;048, 049
;St.-Anton-Straße;ecke Prinz Ferdinant Str.;Containerbestand: 1 Behälter;3 x pro Woche;x;50
;Lutherplatz;geg. Hs. Nr. 30;Containerbestand: 1 Behälter;2 x pro Woche;x;71
;Seyffardtstraße;höhe HNr 81 / Bunker;Containerbestand: 2 Behälter;täglich;x;044, 042
;Marienplatz;ecke Altmühlenfeld;Containerbestand: 2 Behälter;4 x pro Woche;x;031, 032
;Remscheider Straße;höhe HNr. 42;Containerbestand: 1 Behälter;2 x pro Woche;x;29
;Erkelenzer Straße;ecke Bergheimer Straße;Containerbestand: 1 Behälter;3 x pro Woche;x;33
;Weidenröschenweg;ecke Willicherstr.;Containerbestand: 1 Behälter;3 x pro Woche;x;34
;;;;;;
Tourfolge;Straße;Containerstandplatz:;Bemerkungen;Leerungsintewall;Mittwoch;Containernummer
;Uerdinger Straße;Zoo Parkplatz;Containerbestand: 3 Behälter;täglich;x;096, 097, 098
;Schönwasserstraße;Parkbucht höhe Aldi;Containerbestand: 2 Behälter;täglich;x;045, 041
;Hauptstraße;ecke Michael Kivelitz Str.;Containerbestand: 2 Behälter;3 x pro Woche;x;019, 020
;Langen Donk;ecke Fungendonk;Containerbestand:2 Behälter;3 x pro Woche;x;021, 022
;Hafelsstraße;Ecke Kimplerstraße / am Kindergarten;Containerbestand: 1 Behälter;3 x pro Woche;x;30
;Von-Ketteler-Straße;höhe HNr 150 (Bahnübergang);Containerbestand: 1 Behälter;3 x pro Woche;x;35
;Oberbruchstraße;ecke Siemesdyk;Containerbestand: 1 Behälter;3 x pro Woche;x;23
;Siemesdyk;höhe HNr.45 Parkbucht;Containerbestand: 1 Behälter;3 x pro Woche;x;24
;Kölner Straße;Ecke Untergath / Hochhaus;;3 x pro Woche;x;010, 026
;Fütingsweg;höhe HNr 20;Containerbestand: 1 Behälter;3 x pro Woche;x;25
;Seyffardtstraße;höhe HNr 81 / Bunker;Containerbestand: 2 Behälter;täglich;x;044, 042
;Lehmheide;gegenüber Friedhof;Containerbestand: 1 Behälter;3 x pro Woche;x;27
;Obergath;ecke Wehrhahnweg 39a;Containerbestand: 1 Behälter;3 x pro Woche;x;28
;Alte Gladbacher Str.36;Höhe Haus Nr. 36;Containerbestand: 1 Behälter;3 x pro Woche;x;91
;Corneliusstraße;Ecke Corneliusplatz;Containerbestand: 1 Unterflur;3 x pro Woche;x;66
;Dreikönigenstraße;ecke Peterstraße (Parkplatz);Containerbestand: 1 Behälter;täglich;x;43
;Hardenbergstraße;ecke Viktoriastr.;Containerbestand: 2 Behälter;täglich;x;036, 037
;Bismarckplatz;ecke Viktoriastr.;Containerbestand: 2 Unterflur;täglich;x;067, 068
;Friedrich-Ebert-Straße;in der Stichstraße zu Hs. Nr. 150;Containerbestand: 1 Behälter;3 x pro Woche;x;38
;Grüner Dyk;ecke Humboldtstr.;Containerbestand: 1 Behälter;3 x pro Woche;x;39
;Steckendorfer Straße;ecke Bleichpfad;Containerbestand: 2 Behälter;3 x pro Woche;x;046, 047
;Königstraße;am Seidenweberhaus;Containerbestand: 1 Behälter;3 x pro Woche;x;40
;Nordwall;ecke Westwall;Containerbestand: 2 Behälter;täglich;x;048, 049
;Blumenplatz;Ecke Jägerstr.;Containerbestand: 1 Behälter;1 x pro Woche;x;24
;Gutenbergstraße;höhe EKZ Parkplatz;Containerbestand: 3 Behälter;täglich;x;9, 010, 011
;Dülkener Straße;höhe Kaldenkirchener Str.;Containerbestand: 1 Behälter;3 x pro Woche;x;52
;Sternstraße;höhe HNr 45 (Plus);Containerbestand: 3 Behälter;täglich;x;012, 013, 014
;Joachimstraße;ecke Inratherstr. (Kirche);Containerbestand: 1 Behälter;3 x pro Woche;x;54
;Moritzplatz;ecke Girmesgath;Containerbestand: 2 Behälter;täglich;x;015, 016
;Wilmendyk;höhe Altenheim;Containerbestand: 1 Behälter;4 x pro Woche;x;55
;Bruckersche Straße;Hs. Nr. 204;Containerbestand: 2 Behälter;4 x pro Woche;x;086, 087
;Klever Straße;Einfahrt Friedhof Parkplatz;Containerbestand: 4 Behälter;4 x pro Woche;x;57, 058, 059, 060
;Leidener Straße;ecke Dünkirchener Straße;Containerbestand: 1 Behälter;3 x pro Woche;x;90
;Lobbericher Straße;ecke Reepenweg;Containerbestand: 2 Behälter;3 x pro Woche;x;088, 089
;;;;;;
;;;;;;
Tourfolge;Straße;Containerstandplatz:;Bemerkungen;Leerungsintewall;Donnerstag;Containernummer
;Glindholzstraße;Höhe Rathaus;Containerbestand: 1 Behälter;4 x pro Woche;x;17
;Uerdinger Straße;Zoo Parkplatz;Containerbestand: 3 Behälter;täglich;x;096, 097, 098
;Schönwasserstraße;Parkbucht höhe Aldi;Containerbestand: 2 Behälter;täglich;x;045, 041
;Heinrich-Malina-Straße;ecke Bischofstraße (Parkbucht);Containerbestand: 1 Behälter;3 x pro Woche;x;18
;Hafenstraße;ecke Kreuzweg (Parkplatz);Containerbestand: 1 Behälter;3 x pro Woche;x;1
;Danziger Platz;Höhe HNr 1 ( Schwimmbad );Containerbestand: 1 Behälter;2 x pro Woche;x;8
;Düsseldorfer Straße;ecke Am Obertor;Containerbestand: 1 Unterflur;3 x pro Woche;x;64
;Mündelheimer Straße;höhe HNr 50/52;Containerbestand: 1 Behälter;3 x pro Woche;x;2
;Bahnhofstraße;höhe Bahnhof Uerdingen;Containerbestand: 1 Behälter;3 x pro Woche;x;3
;Hochstadenstraße;Ecke Langestr,;Containerbestand: 1Behälter;3 x pro Woche;x;78
;Breslauer Straße;ecke Oderstr.;Containerbestand: 1 Behälter;3 x pro Woche;x;4
;Insterburger Platz;höhe HNr 3;Containerbestand: 1 Unterflur;3 x pro Woche;x;69
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;Zwingenbergstraße;ecke Wallerspfad (Parkplatz);Containerbestand: 3 Behälter;3 x pro Woche;x;005, 006, 007
;Sternstraße;höhe HNr 45 (Plus);Containerbestand: 3 Behälter;täglich;x;012, 013, 014
;Moritzplatz;ecke Girmesgath;Containerbestand: 2 Behälter;täglich;x;015, 016
;Hülser Straße;höhe Weyerhofstr.;Containerbestand: 1 Behälter;2 x pro Woche;x;56
;Benrader Straße;höhe Altenheim;Containerbestand: 1 Behälter;2 x pro Woche;x;85
;Bückerfeldstraße;höhe Kempener Allee;Containerbestand: 1 Behälter;3 x pro Woche;x;83
;De-Greiff-Straße;Geologischer Dienst;Containerbestand: 1 Behälter;2 x pro Woche;x;82
;Westparkstraße;höhe HNr. 30-32;Containerbestand: 2 Behälter;2 x pro Woche;x;080, 081
;Gutenbergstraße;höhe EKZ Parkplatz;Containerbestand: 3 Behälter;täglich;x;9, 010, 011
;Dreikönigenstraße;ecke Peterstraße (Parkplatz);Containerbestand: 1 Behälter;täglich;x;43
;Neue Linner Straße;ecke Philadelphiastr.;Containerbestand: 1 Behälter;4 x pro Woche;x;65
;Hardenbergstraße;ecke Viktoriastr.;Containerbestand: 2 Behälter;täglich;x;036, 037
;Bismarckplatz;ecke Viktoriastr.;Containerbestand: 2 Unterflur;täglich;x;067, 068
;Nordwall;ecke Westwall;Containerbestand: 2 Behälter;täglich;x;048, 049
;St.-Anton-Straße;ecke Prinz Ferdinant Str.;Containerbestand: 1 Behälter;3 x pro Woche;x;50
;Seyffardtstraße;höhe HNr 81 / Bunker;Containerbestand: 2 Behälter;täglich;x;044, 042
;Remscheider Straße;höhe HNr. 42;Containerbestand: 1 Behälter;2 x pro Woche;x;29
;Marienplatz;ecke Altmühlenfeld;Containerbestand: 2 Behälter;4 x pro Woche;x;031, 032
;Erkelenzer Straße;ecke Bergheimer Straße;Containerbestand: 1 Behälter;3 x pro Woche;x;33
;Weidenröschenweg;ecke Willicherstr.;Containerbestand: 1 Behälter;3 x pro Woche;x;34
;;;;;;
;;;;;;
Tourfolge;Straße;Containerstandplatz:;Bemerkungen;Leerungsintewall;Freitag;Containernummer
;Uerdinger Straße;Zoo Parkplatz;Containerbestand: 3 Behälter;täglich;x;096, 097, 098
;Schönwasserstraße;Parkbucht höhe Aldi;Containerbestand: 2 Behälter;täglich;x;045, 041
;Hauptstraße;ecke Michael Kivelitz Str.;Containerbestand: 2 Behälter;3 x pro Woche;x;019, 020
;Langen Donk;ecke Fungendonk;Containerbestand:2 Behälter;3 x pro Woche;x;021, 022
;Hafelsstraße;Ecke Kimplerstraße / am Kindergarten;Containerbestand: 1 Behälter;3 x pro Woche;x;30
;Von-Ketteler-Straße;höhe HNr 150 (Bahnübergang);Containerbestand: 1 Behälter;3 x pro Woche;x;35
;Oberbruchstraße;ecke Siemesdyk;Containerbestand: 1 Behälter;3 x pro Woche;x;23
;Siemesdyk;höhe HNr.45 Parkbucht;Containerbestand: 1 Behälter;3 x pro Woche;x;24
;Kölner Straße;Ecke Untergath / Hochhaus;Containerbestand: 1 Behälter;3 x pro Woche;x;010, 026
;Fütingsweg;höhe HNr 20;Containerbestand: 1 Behälter;3 x pro Woche;x;25
;Seyffardtstraße;höhe HNr 81 / Bunker;Containerbestand: 2 Behälter;täglich;x;044, 042
;Lutherplatz;geg. Hs. Nr. 30;Containerbestand: 1 Behälter;2 x pro Woche;x;71
;Lehmheide;gegenüber Friedhof;Containerbestand: 1 Behälter;3 x pro Woche;x;27
;Obergath;ecke Wehrhahnweg 39a;Containerbestand: 1 Behälter;3 x pro Woche;x;28
;Alte Gladbacher Str.36;Höhe Haus Nr. 36;Containerbestand: 1 Behälter;3 x pro Woche;x;91
;Corneliusstraße;Ecke Corneliusplatz;Containerbestand: 1 Unterflur;3 x pro Woche;x;66
;Dreikönigenstraße;ecke Peterstraße (Parkplatz);Containerbestand: 1 Behälter;täglich;x;43
;Neue Linner Straße;ecke Philadelphiastr.;Containerbestand: 1 Behälter;4 x pro Woche;x;65
;Hardenbergstraße;ecke Viktoriastr.;Containerbestand: 2 Behälter;täglich;x;036, 037
;Bismarckplatz;ecke Viktoriastr.;Containerbestand: 2 Unterflur;täglich;x;067, 068
;Friedrich-Ebert-Straße;in der Stichstraße zu Hs. Nr. 150;Containerbestand: 1 Behälter;3 x pro Woche;x;38
;Grüner Dyk;ecke Humboldtstr.;Containerbestand: 1 Behälter;3 x pro Woche;x;39
;Steckendorfer Straße;ecke Bleichpfad;Containerbestand: 2 Behälter;3 x pro Woche;x;046, 047
;Königstraße;am Seidenweberhaus;Containerbestand: 1 Behälter;3 x pro Woche;x;40
;Nordwall;ecke Westwall;Containerbestand: 2 Behälter;täglich;x;048, 049
;Gutenbergstraße;höhe EKZ Parkplatz;Containerbestand: 3 Behälter;täglich;x;9, 010, 011
;Obergplatz;ecke Fürstenbergstraße;Containerbestand: 1 Behälter;2 x pro Woche;x;53
;Baackesweg;ecke Gripswaldstr.;Containerbestand: 1 Behälter;2 x pro Woche;x;51
;Dülkener Straße;höhe Kaldenkirchener Str.;Containerbestand: 1 Behälter;3 x pro Woche;x;52
;Sternstraße;höhe HNr 45 (Plus);Containerbestand: 3 Behälter;täglich;x;012, 013, 014
;Moritzplatz;ecke Girmesgath;Containerbestand: 2 Behälter;täglich;x;015, 016
;Wilmendyk;höhe Altenheim;Containerbestand: 1 Behälter;4 x pro Woche;x;55
;Bruckersche Straße;Hs. Nr. 204;Containerbestand: 2 Behälter;4 x pro Woche;x;086, 087
;Klever Straße;Einfahrt Friedhof Parkplatz;Containerbestand: 4 Behälter;4 x pro Woche;x;57, 058, 059, 060
;Leidener Straße;ecke Dünkirchener Straße;Containerbestand: 1 Behälter;3 x pro Woche;x;90
;Lobbericher Straße;ecke Reepenweg;Containerbestand: 2 Behälter;3 x pro Woche;x;088, 089
;;;;;;
;;;;;;
